,ROI000,ROI001,ROI002,ROI003,ROI004,ROI005,ROI006,ROI007,ROI008,ROI009,ROI010,ROI011,ROI012,ROI013,ROI014,ROI015,ROI016,ROI017,ROI018,ROI019,ROI020,ROI021,ROI022,ROI023,ROI024,ROI025,ROI026,ROI027,ROI028,ROI029,ROI030,ROI031,ROI032,ROI033,ROI034,ROI035,ROI036,ROI037,ROI038,ROI039,ROI040,ROI041,ROI042,ROI043,ROI044,ROI045,ROI046,ROI047,ROI048,ROI049,ROI050,ROI051,ROI052,ROI053,ROI054,ROI055,ROI056,ROI057,ROI058,ROI059,ROI060,ROI061,ROI062,ROI063,ROI064,ROI065,ROI066,ROI067,ROI068,ROI069,ROI070,ROI071,ROI072,ROI073,ROI074,ROI075,ROI076,ROI077,ROI078,ROI079,ROI080,ROI081,ROI082,ROI083,ROI084,ROI085,ROI086,ROI087,ROI088,ROI089,ROI090,ROI091,ROI092,ROI093,ROI094,ROI095,ROI096,ROI097,ROI098,ROI099,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129,ROI130,ROI131,ROI132,ROI133,ROI134,ROI135,ROI136,ROI137,ROI138,ROI139,ROI140,ROI141,ROI142,ROI143,ROI144,ROI145,ROI146,ROI147,ROI148,ROI149,ROI150,ROI151,ROI152,ROI153,ROI154,ROI155,ROI156
0 days 00:00:00,0.00862374,-0.0168735,-0.00835539,-0.0287248,-0.00209109,-0.0722696,-0.00369954,0.0239267,-0.0263986,-0.0590213,-0.0122704,-0.0359004,-0.0245266,0.0049627,-0.0156754,0.0160587,-0.0332489,-0.0420483,0.0104121,-0.0337428,-0.0103856,0.0150144,-0.0168546,-0.0480493,-0.0185409,-0.0115165,0.00873418,-0.0071625,-0.0163925,0.0258935,-0.0026443,-0.0300054,-0.0195036,0.0188383,0.0392343,-0.0381991,0.00273551,0.0280686,-0.0129327,-0.0219335,-0.0158289,-0.0157005,0.00421626,-0.0334421,0.00635023,-0.0291002,-0.0227155,-0.0352777,-0.0335809,-0.061939,-0.0375071,-0.0809107,0.00126606,-0.0558631,0.0012648,-0.00843133,-0.00617442,-0.0244776,-0.0206264,-0.00654876,-0.0557765,-0.0206074,-0.0461998,-0.00293394,-0.0566344,0.015582,0.01821,0.0254691,0.0228891,-0.0280182,-0.0701911,-0.0160978,-0.0531517,0.0146626,0.0107215,-0.0143565,-0.0420329,0.00630877,0.0108883,0.022936,-0.0441557,-0.0617608,0.0218628,-0.0354315,0.00937952,-0.032001,0.00432251,-0.00947219,-0.0635968,-0.0323491,-0.00661042,-0.00109377,-0.0377978,-0.0214008,-0.0478744,0.0987616,-0.00376931,-0.0311008,0.0289484,-0.043199,-0.0336546,-0.0487738,0.0133764,0.0102148,0.0100568,-0.0299593,-0.020906,-0.0557903,-0.0211621,0.0213796,-0.0565495,0.00283416,-0.0237071,-0.0144947,-0.0119717,0.00853484,-0.0586209,0.0127581,-0.00979196,-0.0601515,0.00851464,0.0110035,0.0131818,-0.0667235,-0.0627797,-0.0128054,-0.0159072,-0.0375846,-0.00432176,-0.0262919,-0.00771031,-0.028734,-0.0103897,-0.00970326,-0.0137501,-0.0255761,-0.0161001,0.0209699,-0.0180378,-0.00111682,-0.0293771,-0.0104709,-0.0517704,-0.0347631,-0.0188023,0.00649091,-0.0281198,-0.0720319,-0.00122107,-0.0953785,-0.0141823,-0.00950811,-0.0188327,0.0369153,-0.0586593,-0.0584287,0.0304956
0 days 00:00:01.500000,0.000990016,-0.0192605,0.0186963,-0.0286219,0.0233976,-0.0471902,-0.00381337,-0.00515742,-0.0106119,-0.0241601,-0.000918059,-0.0250759,-0.0162332,0.0419296,0.0408004,0.0553697,-0.0187224,-0.0161841,0.0615504,-0.0185759,-0.0206166,0.0150126,-0.013342,-0.0372848,-0.00465079,0.000199375,-0.0114596,0.0298117,-0.0466164,-0.000540911,-0.0115658,-0.0195073,0.0312346,0.0389619,0.0488125,0.0179285,0.045207,0.0323616,-0.0187638,0.0254714,-0.0103699,-0.0251881,0.026788,-0.00656084,0.00395188,-0.0188383,-0.0186691,-0.00933328,-0.0136431,-0.070054,-0.0170525,-0.0643691,0.0508688,-7.02148e-06,0.0226756,0.0119513,-0.0110032,-0.0146504,0.00812747,-0.0343586,-0.012151,-0.00300833,-0.0258356,0.0158356,-0.0562008,0.00508726,0.0484203,0.013362,0.0407299,-0.00698972,0.0138611,0.0032486,-0.052428,0.00973816,-0.00560506,-0.0212242,-0.0251079,0.0138594,0.0285546,0.0468744,-0.0120961,-0.0156714,0.0515999,-0.0263822,0.0293137,-0.0224489,-0.0205831,0.0103341,-0.068071,-0.0565934,0.00335163,-0.0419824,-0.00540969,0.0100521,-0.0244498,0.0878083,0.0105133,-0.0219769,0.0415299,-0.0256017,0.0424848,-0.0291606,0.00307748,0.021352,0.040049,-0.0181744,0.00496489,-0.0322218,-0.022774,-0.00870959,0.00829002,0.0294209,0.00613922,-0.00987778,-0.00188417,0.0247194,-0.0291004,-0.0136048,-0.0257878,-0.0285139,-0.00916086,0.00262627,0.0250451,-0.0395385,-0.0490402,-0.00775382,-0.034646,-0.0162551,-0.00759733,-0.00352082,-0.0172586,-0.0200167,-0.0190235,-0.00444838,0.00393725,0.0142412,-0.00772612,0.044289,-0.004805,0.0061462,-0.0134275,-0.015661,-0.0256693,-0.0547574,-0.0389046,0.0257899,-0.0100092,-0.0658664,-0.0122596,-0.113389,0.00823887,-0.00389525,-0.0111672,0.042014,-0.0250543,-0.0691032,0.0192167
0 days 00:00:03,0.0236288,0.00407279,0.0470286,-0.0159334,0.0268438,0.0169409,0.0231298,-0.0288922,0.039986,0.0545248,0.0366583,0.0281719,0.0437847,0.0836692,0.0981998,0.0630283,0.0318608,0.0264747,0.0794982,0.0212353,-0.0246579,0.0390456,0.0343452,0.00224387,0.0246348,0.0269239,-0.00821365,0.073552,-0.0466277,0.0173441,0.00848342,0.040107,0.0760582,0.0555569,0.0536378,0.0780173,0.078334,0.0446151,-0.013936,0.0733863,0.0100964,-0.00251147,0.0320246,0.050834,0.0116782,0.0195974,0.0286554,0.0669408,0.0394483,-0.0331799,0.0237287,0.00748048,0.0974675,0.0902149,0.0338174,0.0626681,-8.00371e-05,0.024791,0.0409043,-0.0232297,0.0546471,0.0369248,0.00919647,0.0579812,0.00425818,0.00610248,0.0560595,-0.0117683,0.0342851,0.0495865,0.114323,0.0377212,-0.0220976,0.00541592,-0.00540653,0.017363,0.0530247,0.0236123,0.0179766,0.0544494,0.0369459,0.0704452,0.0783891,0.0184867,0.0578644,0.0329449,-0.0145598,0.0603755,-0.00860529,-0.0451775,0.0414407,-0.0391985,0.0377493,0.0525575,0.0424082,0.0320729,0.0557745,0.0252035,0.0271988,0.0146823,0.128313,0.0219181,-0.0128866,0.0184914,0.0583303,0.0212995,0.0338893,0.0420586,0.0378768,-0.0356329,0.0741572,0.0870757,0.0695422,0.0169314,0.0420335,0.0437506,0.0290068,-0.0153587,0.000237112,0.0500639,-0.0057328,0.0309166,0.0551081,0.0438107,0.0225855,0.0462547,-0.00663611,0.0387208,-0.00336913,0.0340391,-0.00393472,0.0114127,0.00298365,0.0218662,0.0383205,0.048857,0.0429655,0.0531814,0.0233084,0.0259401,0.0382082,0.0162663,0.0115324,-0.0375534,-0.041715,0.0503571,0.0442051,-0.0144043,-0.00811745,-0.0701353,0.0126198,0.0148247,0.045039,0.0219042,0.0527989,-0.0265082,-0.0178908
0 days 00:00:04.500000,0.045177,0.0472335,0.0494127,-0.00583344,0.0211344,0.0552699,0.0615561,-0.0209559,0.0832006,0.0967485,0.0492488,0.0924416,0.0912742,0.0994133,0.0973148,0.030186,0.0668392,0.041719,0.06733,0.0577911,-0.0207803,0.0875489,0.0584701,0.023081,0.0366981,0.0355446,0.0332875,0.0766118,-0.0039881,0.0560098,0.0580799,0.11158,0.0783916,0.0479147,0.0415182,0.0762877,0.0646158,0.0636175,-0.00089875,0.0707727,0.0239786,0.0416989,0.0223133,0.0785054,0.00210739,0.0649474,0.0483064,0.108963,0.0684209,0.0128092,0.0268999,0.0514556,0.0806376,0.117502,0.0166152,0.0760966,0.0137303,0.073282,0.0514605,0.0061997,0.0590017,0.065785,0.0281741,0.0821115,0.065988,0.0125966,0.0335262,-0.0095932,0.0337909,0.0846979,0.118613,0.0631359,0.0120462,0.00419773,0.00796825,0.0723337,0.109406,0.0288031,0.00989824,0.0338555,0.083288,0.129537,0.0671103,0.0445227,0.07472,0.0708292,0.0232672,0.0893242,0.0449243,-0.012736,0.0553833,-0.00400211,0.0471814,0.0882616,0.0694101,0.000111572,0.0881051,0.0636873,0.0177265,0.0253552,0.129259,0.0661571,-0.00769831,0.00806033,0.0709923,0.0358591,0.0336531,0.0709475,0.107479,-0.020245,0.0621041,0.110625,0.0984823,0.0262606,0.0685247,0.0579551,0.0743765,0.00621222,0.0293268,0.0864963,0.00736995,0.0649415,0.0609955,0.0705332,0.0880789,0.103579,0.0363877,0.0842348,0.0111976,0.0576584,0.0317725,0.0274807,0.0428342,0.0229678,0.0707757,0.0482314,0.081403,0.0326671,0.0442197,0.0249531,0.0804223,0.056915,0.0369602,0.00501534,-0.0252455,0.0841016,0.0969454,0.0206345,0.00371348,-0.0150895,0.0183979,0.0484699,0.0931177,0.00757253,0.098231,0.027209,-0.0233542
0 days 00:00:06,0.0190533,0.0687767,0.0154783,-0.0123063,0.0263452,0.0421469,0.0588404,-0.00486487,0.0723668,0.0709815,0.0147981,0.102368,0.062332,0.0672323,0.025229,-0.0164888,0.0414459,0.0355575,0.0529291,0.0569287,-0.0210529,0.0931064,0.0296533,0.0233879,0.0146911,0.0160261,0.0530808,0.0376519,0.0282461,0.031952,0.0765396,0.113782,0.0424688,0.0149485,-0.00405478,0.0224351,0.0127348,0.0458129,0.00850672,0.0193429,0.0139969,0.0467158,0.00941807,0.0400791,-0.0273823,0.0656834,0.00759941,0.0665045,0.0423764,0.0360648,-0.0218454,0.023908,0.00397072,0.0610507,-0.0165427,0.0210556,0.0110499,0.0915062,0.0305993,0.00882669,0.00593073,0.0497103,0.0177152,0.0478685,0.0591656,0.00897517,-0.00386707,0.0136502,0.0491793,0.0676352,0.0294696,0.0403875,0.0303632,-0.0125736,0.0163366,0.0724725,0.0799845,0.0165801,0.0305494,-0.0170929,0.0945345,0.112905,0.0113755,0.0346077,0.0512438,0.0444432,0.0288585,0.0608501,0.0315335,-0.0027543,0.0114785,0.0108581,0.0279686,0.0834572,0.0199805,-0.00496965,0.0563952,0.0523781,0.0223489,0.0147654,0.0396651,0.0695864,0.000131841,-0.0039849,0.0783916,0.00666966,0.0132091,0.0270398,0.0933246,0.00784518,0.00664578,0.0553987,0.0442457,-0.00108663,0.0361634,0.0372785,0.0808957,0.00815128,0.0188372,0.0527686,0.00318958,0.0529637,0.0223214,0.0174523,0.089912,0.0900852,0.036836,0.0753834,0.0240034,0.0482269,0.0416283,0.00787663,0.0531373,-0.0185361,0.0589133,0.0317376,0.0704548,-0.00226894,0.0408335,-0.0216361,0.0722312,0.0515741,0.0537116,0.0247974,-0.0192676,0.0923373,0.0894856,0.0236508,0.00403442,0.0346302,0.0345411,0.0714526,0.0738571,0.00613663,0.0836019,0.052362,-0.00513583
0 days 00:00:07.500000,-0.0408238,0.0407795,-0.0346301,-0.0302252,0.0212989,0.00305548,0.0140014,-0.00118041,0.0289689,0.0185633,-0.0046374,0.0373956,-0.0125473,0.00712818,-0.0620539,-0.0417487,-0.000855043,0.0246197,0.0263017,0.0295336,-0.0214995,0.0272803,-0.00800374,0.0204896,-0.0126493,-0.0207328,0.0155846,0.00918957,0.0146396,-0.051898,0.0429252,0.0361872,0.00646566,-0.0200836,-0.0605555,-0.0292573,-0.0272184,-0.0101408,0.0115719,-0.026797,0.00377681,0.00872341,-0.0156238,-0.00627584,-0.0506237,0.0218346,-0.0413546,-0.00318047,-0.0057535,0.0222955,-0.0602441,-0.0203613,-0.0609276,-0.00631826,-0.0356509,-0.0231941,-0.00156344,0.0603883,-0.00727364,-0.000479142,-0.0345239,0.00600661,-0.00329488,-0.00286151,-0.0133225,0.00257566,-0.0314002,0.013365,0.0444263,0.0255031,-0.0359011,-0.00882054,0.0279302,-0.0517811,0.0154369,0.0185889,0.00134598,-0.018463,0.0412215,-0.0611535,0.0489485,0.044377,-0.0463661,0.0128297,0.000183022,0.00678984,-0.0122782,0.0115177,-0.00222754,-0.0197211,-0.0508212,0.00638545,0.0215036,0.0314182,-0.0394764,-0.0123546,-0.0194012,0.000574719,0.0122622,0.0170428,-0.0455054,0.0351719,-0.0182219,-0.0245545,0.0538549,-0.014388,-0.00368889,-0.022676,0.022401,0.000275483,-0.0176107,-0.0291366,-0.0207342,-0.042796,-0.00291402,-0.00882343,0.0466737,-0.0128703,-0.00619209,0.0154315,-0.00870826,0.00257812,-0.0237802,-0.00619651,0.0389379,0.0279741,0.0221957,0.0246682,0.0213708,0.0252118,0.0074808,-0.0343437,0.026195,-0.0613475,0.00640366,0.0101112,0.0303754,-0.0290957,0.0227824,-0.0679822,0.0327844,0.0183263,0.0479616,0.0147149,-0.0292928,0.0435187,0.0340657,0.013016,-0.0136603,0.0736157,0.0274698,0.0546044,0.0176473,-0.00301492,0.0350683,0.0478546,-0.0107722
0 days 00:00:09,-0.074585,0.00138529,-0.0657349,-0.0350838,-0.00543642,-0.0297834,-0.0138094,0.00675271,0.0129573,-0.0149525,0.0343689,-0.0366444,-0.0535952,-0.031028,-0.0923918,-0.036257,0.00765329,0.0055756,-0.0231236,0.0219308,-0.00211919,-0.0410746,-0.0213652,0.0101797,-0.0104856,-0.0558327,-0.0210982,0.0180567,-0.00206496,-0.0898884,0.0107703,-0.0364058,0.00503102,-0.0367105,-0.0781601,-0.0483759,-0.0251982,-0.0398861,0.0203266,-0.0363862,0.023783,4.12998e-06,-0.0448609,0.00246855,-0.051703,0.00445012,-0.0544414,-0.0297873,-0.0272409,-0.00798428,-0.0369193,-0.0168028,-0.064426,-0.0245117,-0.0301357,0.0134307,0.000203579,0.00354803,-0.0259182,0.0168736,-0.0426126,-0.00722835,-0.00277114,0.000589849,-0.0778024,0.00742383,-0.0347274,-0.00699769,0.00869972,-0.00345569,-0.0134564,-0.00867307,0.0163578,-0.0821839,0.00908326,-0.00786803,-0.0522939,-0.0530978,0.0122857,-0.0551114,-0.0147206,-0.00815874,-0.0598382,0.000646549,-0.0291372,0.0168941,-0.0263577,-0.00663158,0.0115014,-0.0186899,-0.0776885,0.0178575,0.0394257,-0.0174809,-0.0423765,-0.0118382,-0.0673734,-0.049177,-0.0132147,0.0268863,-0.049871,0.00465921,-0.037108,-0.045622,-0.00516863,0.0107676,-0.0160166,-0.0283874,-0.00559889,-0.0252652,-0.00843595,-0.07131,-0.00638515,-0.0671588,0.014565,-0.0193586,-0.00190894,-0.0117472,-0.00234894,0.0234202,-0.00187268,-0.0370566,-0.0428894,0.0445291,-0.0121715,-0.00251975,0.0477327,-0.0135613,0.0103459,0.021884,-0.0129784,-0.0685626,0.0132116,-0.0645899,-0.0219866,-0.0242222,-0.00842506,-0.0411246,0.0105345,-0.0526787,0.0099538,0.0163178,0.0128121,0.0181194,-0.0156076,-0.0286143,-0.003074,-0.00582554,-0.0376536,0.0759449,0.00145516,0.00992081,-0.00134504,-0.0210048,-0.0152155,0.033709,-0.0236544
0 days 00:00:10.500000,-0.0576558,0.00135288,-0.0553775,-0.0117319,-0.0150655,-0.0302178,-0.000406847,0.0223544,0.0277026,-0.0119227,0.0728412,-0.0404787,-0.0393617,-0.0228327,-0.0505791,-0.0165867,0.0450863,-0.00755413,-0.0508695,0.0466994,0.0339923,-0.0468068,-0.0230288,-0.00365968,0.0108981,-0.0616859,-0.00453713,0.0294897,0.0205244,-0.0374247,0.0129948,-0.0400717,0.0320009,-0.0320774,-0.0424919,-0.0282521,0.000245278,-0.0155429,0.039125,-0.0291729,0.0559431,0.0427082,-0.0346465,0.031284,-0.033105,0.0414352,-0.0450234,-0.0221148,-0.00962213,-0.00581926,0.0150643,0.0195759,-0.0274103,-0.00350594,-0.0134987,0.0708626,0.0135179,-0.0335846,0.00198854,0.0414246,-0.0423497,0.0302299,0.019543,0.0354478,-0.07514,0.00990754,-0.0197953,-0.00379372,-0.0224336,-0.00593744,0.0280647,0.0532864,0.016851,-0.0694799,-0.0065221,0.0242957,-0.0554617,-0.0518309,-0.0172306,-0.0144992,-0.0234554,-0.0104889,-0.0292628,-0.000532322,-0.0139153,0.0395682,0.0180658,0.00616126,0.0441086,0.0192652,-0.0629816,0.0317725,0.0595238,-0.0118057,-0.00949435,0.00932866,-0.0582436,-0.0604236,-0.0219178,0.0277019,-0.00323505,0.0176635,-0.0173078,-0.0398865,-0.0490302,0.0372063,-0.024565,-0.0116766,0.00861653,-0.0183369,1.94237e-05,-0.0661596,0.0400966,-0.0564684,0.050547,0.018033,-0.0207394,0.0164095,0.0210879,0.0492843,0.0124412,-0.0408857,-0.0423674,0.0774377,-0.0213008,0.00316516,0.0759497,-0.00861436,0.0113282,0.041649,0.0149423,-0.0703835,0.0431735,-0.0359745,0.00139667,-0.0450578,-0.0342525,-0.0381983,0.012702,0.00310002,0.0095679,0.0372002,-0.00106996,0.0454609,0.030956,-0.0630152,-0.00315318,-0.0180699,-0.0467877,0.0407114,0.0150457,-0.0207151,0.0203492,-0.0272557,-0.0273853,0.0186336,0.00561699
0 days 00:00:12,-0.0191411,0.0179222,-0.0128486,0.0240277,0.0123526,0.0139489,0.0121081,0.014754,0.0209757,0.0188439,0.0453171,0.0133123,-0.010253,0.00164423,0.0109989,0.00279925,0.0398372,0.0106819,-0.0190448,0.0612109,0.0548345,-0.0153651,-0.0177722,0.00671612,0.0202387,-0.0227699,0.0220619,0.0108361,0.0474914,0.0214812,0.0144861,-0.00858855,0.0470427,-0.0122983,0.00649001,0.0244685,0.0182285,0.0117883,0.0483534,-0.0225541,0.0583547,0.0631644,0.0197849,0.0172969,0.00182525,0.0607085,-0.0258318,-0.0142977,0.0223848,0.0396688,0.034544,0.0382223,0.00213119,0.0174741,0.00227968,0.0538628,0.0112127,-0.0317177,0.0492278,0.0318773,-0.0266887,0.0600639,0.0302088,0.0208392,-0.0208804,-0.00977152,-0.000772672,0.016959,-0.0322752,0.0092663,0.0123676,0.0891483,0.0319002,-0.022036,-0.028552,0.0465522,-0.0264132,-0.0124158,-0.0129282,0.0111677,0.0252411,0.00693453,0.00981357,-0.00191305,0.0153302,0.0188884,0.0468918,0.0199552,0.0319882,0.0516196,-0.0258963,0.0130889,0.06296,0.0249566,0.00760206,0.0173501,-0.0254245,-0.0251653,-0.0134392,0.0305808,0.0180597,0.0538028,0.0175841,-0.004506,-0.0396839,0.0127715,-0.012376,-0.00199498,-0.0105895,0.0172688,0.00638826,-0.045834,0.0166552,-0.0132526,0.0308549,0.0334269,0.00613557,0.020151,0.02912,0.0507604,0.00404211,-0.0163772,-0.0314432,0.0379178,0.0113035,-0.0121323,0.0371531,0.018907,0.024153,0.0538862,0.0324473,-0.0386848,0.0668773,-0.00380443,0.0243252,-0.0175199,-0.0384232,-0.0181738,0.0237871,0.0301971,0.000684877,0.025422,0.039465,0.051386,0.0556471,-0.0521755,-0.00369998,0.00549632,-0.0237996,0.00843489,0.063613,-0.0195152,0.0164952,-0.0189776,0.0178568,-0.00168566,0.0542271
0 days 00:00:13.500000,0.0115152,-0.00420531,0.0246361,0.0408763,0.0325401,0.064865,-0.00420701,-0.0188549,-0.020642,0.0341796,-0.014007,0.037253,0.00626666,-0.000700642,0.0317623,0.0155908,-0.00849111,0.0359159,0.0278425,0.0285793,0.0400217,-0.0038083,0.0039008,0.0401703,0.0167009,0.0325581,0.00176408,-0.020651,0.02934,0.0156416,-0.0115437,-0.00293147,0.0244897,0.0106218,0.0222587,0.0675387,0.0177737,0.00644016,0.0276554,-0.00871279,0.0268091,0.0170861,0.0499541,-0.0215855,0.0398162,0.0106026,0.00689775,-0.00322904,0.0351157,0.0709275,0.0149894,0.0296424,0.00251619,0.0122135,0.0127683,-0.0202216,-0.00590161,-0.0186205,0.0528878,0.00267668,0.0145226,0.022197,0.0161705,-0.0372631,0.0257068,-0.0354895,0.0143204,0.010027,-0.0353228,0.0198489,-0.0313517,0.0383076,0.0341975,0.0216255,-0.037814,0.00971563,0.00937624,0.0275544,0.000395129,0.0125756,0.0500133,-0.00156878,0.0290524,-0.0119272,0.0189549,-0.0221992,0.0103641,0.0172543,-0.00973577,0.039146,0.0142406,-0.0159794,0.0354658,0.0274972,0.00214013,-0.0126458,0.00217644,0.029267,-0.0135935,0.03892,-0.00290378,0.0474431,0.01665,0.0234167,-0.00369416,-0.0297085,0.0205148,0.00646026,-0.0561332,0.0339781,0.0115772,-0.0223762,-0.0522272,0.0304329,-0.0285203,-0.0077618,0.0389753,-0.0136497,0.0164549,0.0217071,-0.0186411,0.0179713,-0.00622346,-0.00894074,0.0398418,-0.0509228,-0.037546,0.0301606,0.0203826,0.0311729,-0.00704727,0.00470153,0.0282121,0.0170146,0.00830736,0.0266723,-0.0218563,0.00794354,0.0279633,0.017921,-0.0201205,-0.0184934,0.0626902,0.0151811,0.0274474,-0.0329713,-0.0190502,0.0469449,0.0191633,0.00377052,0.0610424,-0.00628792,-0.0329949,-0.0115529,0.0573924,-0.0152753,0.0549405
0 days 00:00:15,0.0293473,-0.0476166,0.0235648,0.0241398,0.011372,0.0542367,-0.0231635,-0.0330137,-0.0491483,-0.00292126,-0.0401911,-0.00461402,0.0118737,-0.0298684,0.00353087,0.00798363,-0.0434356,0.0166711,0.0240469,-0.0319574,0.00158344,-0.0216707,0.0203442,0.0515314,0.0148991,0.0528284,-0.039512,-0.0382056,-0.0143559,-0.0116224,-0.0373147,-0.0237148,-0.0216966,0.0189221,-0.00412492,0.0521015,2.16118e-05,-0.00280275,-0.0123396,0.00348166,-0.0138571,-0.0373017,0.015847,-0.0354029,0.0521574,-0.0499846,0.0249638,0.0071861,0.0136317,0.0415411,-0.0122518,0.00980627,-0.0129974,-0.0245366,0.00812167,-0.066327,-0.00835447,-0.0270021,0.000186905,-0.0103035,0.0389011,-0.0482886,-0.000820779,-0.0577461,0.028695,-0.0348186,0.0178135,-0.0166898,-0.0282216,0.00549591,-0.040286,-0.0406995,0.00744933,0.0347764,-0.0237123,-0.0369932,0.0238361,0.0363442,0.000496883,0.00797218,0.00779327,-0.0362104,0.0219047,-0.0198659,-0.00721484,-0.0343119,-0.0355988,-0.00912777,-0.0299447,0.00125711,0.0260146,-0.0112527,-0.0319314,-0.0106293,-0.0125677,-0.044514,0.0237389,0.0542264,-0.0148703,0.027944,-0.0255079,-0.0152597,-0.0138829,0.0154296,0.0093952,-0.0287213,0.0385032,0.0158726,-0.0594249,0.0164312,-0.00328325,-0.00347491,-0.0649188,0.0325926,-0.0557977,-0.0451308,0.0293526,-0.0324638,-0.00152843,-0.0184935,-0.022196,0.0361464,0.0147564,-0.0190991,0.0193615,-0.0645147,-0.0656679,0.0108894,-0.0156959,-0.0185159,-0.0467,0.03261,-0.0432118,0.0168403,-0.0155562,0.0270375,-0.00618426,0.0158633,0.00839433,0.00400413,-0.0278917,-0.0470104,0.0012334,-0.0246706,-0.0084816,-0.0216553,-0.0269424,0.0441343,0.0357192,0.0147218,-0.00815584,-0.00269287,-0.0620517,-0.00746351,0.0121964,0.00524965,0.00602672
0 days 00:00:16.500000,0.0315932,-0.0476409,-0.0101845,-0.0100687,-0.0218539,-0.0214891,-0.0254062,-0.00752992,-0.0341197,-0.0558776,-0.0397415,-0.049614,0.00103718,-0.0508458,-0.0302272,-0.0254018,-0.0515837,-0.0344804,-0.0194751,-0.0709393,-0.0342702,-0.0470436,0.00142165,0.0212804,0.00755505,0.0236675,-0.0481497,-0.0448689,-0.0329326,6.0623e-05,-0.0381207,-0.0338524,-0.0629369,0.00629891,-0.0419598,-0.00195585,-0.0279575,0.000936402,-0.0398094,-0.0122324,-0.0512968,-0.0390473,-0.0230422,-0.0324805,0.0317579,-0.0537189,-0.00489227,-0.0155475,-0.0260498,-0.0173158,-0.0306166,-0.0183313,-0.017756,-0.0695208,-0.0157905,-0.0615915,0.00440403,-0.0413936,-0.0465102,-0.0155948,0.0112139,-0.0616099,-0.0133639,-0.0307632,-0.00230866,-0.00906626,-0.000123111,-0.013984,-0.00303055,-0.0288503,-0.0203918,-0.0618431,-0.0210225,0.0166618,-0.000825872,-0.0361263,-0.000660988,0.0180991,0.00243588,-0.0105183,-0.0468767,-0.0555664,-0.00363877,-0.00965257,-0.0382388,-0.0261798,-0.0417181,-0.0514686,-0.0343987,-0.0198821,-0.0058599,0.0124095,-0.106522,-0.0344558,-0.0403801,-0.0378511,0.0275431,0.0229853,0.00344871,-0.00571617,-0.0294351,-0.0640814,-0.0279726,-0.0106116,-0.0128808,0.00520316,0.0177546,0.00333144,-0.0258467,-0.00645707,-0.0235827,-0.00709111,-0.02063,-0.00539279,-0.0381334,-0.0335513,-0.0169196,-0.0115601,-0.017774,-0.0393333,-0.00565583,0.0222425,0.00595321,-0.0332976,-0.0339779,-0.0450168,-0.0470408,-0.0203434,-0.054182,-0.0606153,-0.0277638,0.0302472,-0.0723439,-0.00688284,-0.0189919,-0.00288419,-0.00176655,-0.000672758,-0.0268467,-0.00631785,-0.030278,-0.0483182,-0.0695019,-0.0364008,-0.0108321,-0.00823713,-0.0207382,-0.0106034,0.00139955,0.0268044,-0.0488416,-0.00986771,-0.027434,0.00149985,-0.0731628,0.047347,-0.0315053
